 
                                                                                                                                                                                                                                                                
 
gvkey     datadate     fyear    cik
004885    20150930      2015    0000038777
004900    20160430      2015    0000039020
004903    20160331      2015    0000039092
004926    20151130      2015    0000039368
004936    20150630      2015    0000039648
004941    20151231      2015    0000040211
004973    20151231      2015    0000354190
004988    20151231      2015    0000039899
004990    20160131      2015    0000039911
005018    20151130      2015    0000040888
005046    20151231      2015    0000040533
005047    20151231      2015    0000040545
005050    20150930      2015    0000040570
005071    20160531      2015    0000040704
005072    20151231      2015    0000040729
005072    20151231      2015    0000040729
005073    20151231      2015    0001467858
005087    20151231      2015    0000088205
005109    20160131      2015    0000018498
005116    20151231      2015    0000355811
005125    20151231      2015    0000040987
005149    20151231      2015    0001052752
005149    20151231      2015    0001052752
005165    20160331      2015    0000719274
005179    20151231      2015    0000041719
005210    20160531      2015    0000042228
005218    20151231      2015    0000042316
005234    20151231      2015    0000042582
005237    20151231      2015    0000042682
005250    20151231      2015    0001045309
005252    20151231      2015    0000042888
005254    20160331      2015    0000716314
005256    20151231      2015    0000277135
005284    20151231      2015    0000043196
005338    20151031      2015    0000043920
005342    20151231      2015    0001273931
005342    20151231      2015    0001273931
005379    20151231      2015    0001030749
005395    20151231      2015    0001589061
005395    20151231      2015    0001589061
005408    20151231      2015    0000311817
005439    20151231      2015    0000045012
005492    20150630      2015    0000202058
005496    20151231      2015    0000045876
005518    20151231      2015    0000046080
005520    20151231      2015    0000046129
005523    20151231      2015    0000216085
005526    20151231      2015    0000354707
005530    20160331      2015    0000046250
005539    20151231      2015    0000731012
005543    20151231      2015    0000766704
005543    20151231      2015    0000766704
005559    20151231      2015    0000874238
005560    20151231      2015    0000719413
005567    20151031      2015    0000046619
005568    20151231      2015    0001637459
005572    20160229      2015    0000916789
005581    20150930      2015    0000046765
005597    20151231      2015    0000047111
005600    20151231      2015    0001657853
005606    20151031      2015    0000047217
005608    20151231      2015    0000717605
005639    20150930      2015    0000047518
005643    20151231      2015    0001585689
005667    20151231      2015    0000048039
005671    20151231      2015    0001656239
005680    20160131      2015    0000354950
005690    20151231      2015    0000048287
005697    20151231      2015    0000741815
005709    20151031      2015    0000048465
005723    20151231      2015    0000316206
005742    20151231      2015    0001130310
005750    20151031      2015    0000357294
005763    20151031      2015    0001029800
005763    20151031      2015    0001029800
005764    20151231      2015    0000048898
005783    20151231      2015    0000728535
005786    20151231      2015    0000049196
005786    20151231      2015    0000049196
005788    20151031      2015    0000315374
005791    20150930      2015    0000772897
005792    20151231      2015    0001093082
005831    20150930      2015    0000049728
005860    20151231      2015    0000216228
005862    20151231      2015    0000052827
005862    20151231      2015    0000052827
005870    20151231      2015    0001057877
005878    20151231      2015    0000049826
005888    20151231      2015    0000352998
005902    20150630      2015    0000722830
005903    20151231      2015    0000049938
005918    20151231      2015    0001096385
005959    20151231      2015    0001466258
005968    20151231      2015    0001481582
005978    20151231      2015    0000353020
005987    20150930      2015    0000050725
006003    20160331      2015    0000703361
006008    20151231      2015    0000050863
006013    20151231      2015    0000320340
006034    20151231      2015    0000715787
006066    20151231      2015    0000051143
006078    20151231      2015    0000051253
006081    20151031      2015    0000808450
006100    20151231      2015    0001405495
006104    20151231      2015    0000051434
006115    20151231      2015    0000278041
006116    20151130      2015    0000051548
006136    20151231      2015    0000051644
006158    20151231      2015    0000742112
006194    20151231      2015    0000719209
006196    20151231      2015    0000052795
006216    20150930      2015    0000052988
006223    20151231      2015    0000105634
006239    20151130      2015    0001084580
006239    20151130      2015    0001084580
006266    20151231      2015    0000200406
006268    20150930      2015    0000833444
006304    20150630      2015    0000319201
006307    20160131      2015    0001310067
006310    20151231      2015    0001506307
006311    20151231      2015    0000056868
006326    20151231      2015    0000054381
006334    20151231      2015    0001143068
006335    20151231      2015    0000054480
006338    20151231      2015    0001711269
006375    20151231      2015    0000055067
006379    20151231      2015    0000055135
006386    20150630      2015    0000055242
006410    20160430      2015    0000055529
006416    20150630      2015    0000719733
006433    20150630      2015    0000055772
006435    20151231      2015    0000055785
006461    20151231      2015    0000056047
006497    20150630      2015    0000056701
006502    20160131      2015    0000056873
